domain	client_asset_or_source	imported_store	record_count	missing_or_invalid_refs	loader_or_owner	client_version	evidence_grade	validation_command	next_action
Items and effects	3.6.10.10 client dump	world.db ItemTemplates / ItemEffects	21748 / 66294	0 item-set and cosmetic references	DatabaseManager	3.6.10.10	B	py tools/auditoria_datos.py	Keep foreign-key audit in release checks.
Item sets	dofusdude Dofus 3 dump	datos/item_sets.json	929	0 / 3597 item references	Managers.ItemSets	3.6.10.10	B	py tools/auditoria_datos.py	Validate set bonuses in equipment replay fixtures.
Spells and levels	3.6.10.10 client dump	world.db Spells / SpellLevels	17113 / 34823	379 orphan SpellLevels; placeholder SpellTemplates id 0	Managers.SpellTable	3.6.10.10	B	py tools/auditoria_datos.py	Quarantine invalid spell refs before extending combat.
Maps and geometry	3.6.10.10 client dump	world.db MapTemplates + datos/map_*_cells.json	15360 / 17211 / 17222	map 0 placeholder; 11 fight-only maps	MapManager	3.6.10.10	B	py tools/auditoria_datos.py	Reject unsupported geometry explicitly in movement/fight paths.
Monsters and map groups	3.6.10.10 client dump	world.db Monsters / MapMobs	5134 / 38744 groups	0 monster-template references	Managers.MobSpawnManager	3.6.10.10	B	py tools/auditoria_datos.py	Add deterministic spawn/fight replay fixtures.
Dungeons	3.6.10.10 client dump	world.db Dungeons / DungeonRooms	187 / 763	Dungeons 144 and 157 refer to missing room maps	Managers.DungeonManager	3.6.10.10	B	py tools/auditoria_datos.py	Block broken entrances or repair source data before dungeon gameplay.
NPCs and shops	3.6.10.10 client dump + capture data	world.db NpcTemplates / NpcSpawns + datos/npc_shops.json	6468 templates / 53 spawns / 51 shops	World placement coverage is incomplete	Managers.Npcs / NpcShops	3.6.10.10	B	py tools/auditoria_datos.py	Prioritise NPC map placement before quest and dialog parity.
Professions	dofusdude Dofus 3 dump	datos/JsonFromDofusDude + world.db Jobs/Skills/Recipes	0 imported in audited database	Required jobs/skills/recipes dump absent at audit time	Managers.JobManager / SkillManager / RecipeManager	3.6.10.10	C	py tools/auditoria_datos.py	Import dumps and validate a gather/craft persistence journey.
Cosmetics, titles and mounts	3.6.10.10 client dump	datos/cosmetics.json; titles_ornaments.json; mounts.json	2420 cosmetics; 539 titles; 167 ornaments; 520 mounts	0 cosmetic/mount item references	Managers.Cosmetics / Titles / Mounts	3.6.10.10	B	py tools/auditoria_datos.py	Capture equip, title, mount and reconnect UI updates.
Haven bag	3.6.10.10 client dump	datos/havenbag.json + world.db HavenBag tables	48 themes / 4083 furniture	No audited reference errors	Managers.HavenBagStore	3.6.10.10	B	py tools/auditoria_datos.py	Add furniture transaction/reconnect fixture.
