# Etapa 4 contestada a ciegas, 19/08/2026. Es una medición, no un mapeo para usar.
#
# Los 99 mensajes de los que se sabe el nombre, preguntados uno a uno con su propia ancla tapada
# —en el expediente y en los ejemplos, sólo la suya— y contestados sin mirar docs/opcodes.md ni la
# tabla de anclas. Comprobado en las transcripciones de los tres barridos: nadie abrió esos
# ficheros.
#
# Tres barridos, y lo que los separa importa:
#
#   1 y 2   con el índice que atribuía mensajes a clases que no los tocan (direcciones plegadas
#           por IL2CPP, ver CodeIndex.Resolve). 11 de 30 los dos.
#   3       con el índice corregido, que es el de este repo. 14 de 31.
#
# Este fichero guarda el TERCERO. Repartido por la confianza que declara el propio modelo:
#   segura     4 de  4   (100 %)
#   probable   3 de  6
#   posible    7 de 21
#
# Lo que se sostiene en los tres: «segura» no falla nunca, «posible» acierta uno de cada cuatro, y
# dos terceras partes se callan —siempre ante los mismos mensajes: 63 de los 69 silencios de los
# barridos 1 y 2 coinciden—.
#
# El listón para dar algo por acertado es las MISMAS palabras, ni una más: se perdona el orden, los
# plurales y el «Message» del final. Con listones más flojos salía 56,7 %, 43,3 % y 40,0 %,
# contando como aciertos AppearanceSlotSetRequest frente a AppearanceSlotSetResult, TitleSelect
# frente a TitleSelectRequest, y AuthenticationTicket frente a AuthenticationTicketAccepted.
#
# columnas: opcode	nombre	confianza	en qué se basa
hhy		ninguna	El expediente solo trae la forma (dos listas de int32 paralelas), sin clases del cliente ni mensaje contenedor; encajan igual decenas de listas (celdas, ids de hechizo, emotes) y nada decide.
hid		ninguna	Un unico int32 y cero clases que lo toquen o mensaje del que sea campo; no hay nada que lo distinga de cualquier otro mensaje de un solo id.
hif		ninguna	Igual que hid: un unico int32, sin clases del cliente ni contenedor en el expediente; sin evidencia no hay nombre.
hjc		ninguna	Lo unico externo a su forma es que el enumerado hik reaparece en el anidado hjg de hjj, y eso no dice ni el dominio ni el sentido de los dos enumerados mas el int64.
hjj		ninguna	Ninguna clase del cliente lo toca y el unico mensaje relacionado que da el expediente es hjg, que es su propio anidado; el hjh vacio del campo 1 no aporta nada identificable.
hms	SpellListMessage	posible	La unica clase que lo toca, fhw (UpdateSpellsNextFrame), lo situa en el dominio de hechizos, y el cuerpo es un bool mas dos listas de la misma entrada hmw {id, bool, bool, posicion}, lo propio de un listado completo de hechizos; fhw toca 8 mensajes, asi que no descarta a los otros del bloque.
hmt	SpellUpgradeSuccessMessage	posible	Cae en el mismo bloque de nombres que hms y su anidado hmw y que hng, y a hms y a hng los toca fhw (UpdateSpellsNextFrame): dentro de ese dominio un par {int32, int32} corresponde a idHechizo mas nivel, pero hmt no tiene ninguna clase propia que lo confirme.
hng		ninguna	Solo lo toca fhw (UpdateSpellsNextFrame), que toca 8 mensajes y como mucho lo situa en hechizos; con {enumerado hne, int32, bool} encajan por igual subida, variante y olvido de hechizo, y no hay nada que decida entre ellos.
hoy		ninguna	El expediente no da ninguna clase del cliente ni mensaje del que sea campo, y el enumerado lbu no aparece en ningun otro sitio del que deducir el dominio.
irq	JobExperienceMultiUpdateMessage	posible	No hay clases en el expediente; solo el patron de la entrada ise (id, int64, nivel, int64, int64), que es xp mas suelo y techo del nivel repetidos por entrada y con varias entradas por personaje, lo tipico de los oficios, siendo el mensaje solo esa lista; el orden de campos no calza del todo con JobExperience, asi que podria ser otra lista con xp.
itc		ninguna	Solo la forma: un int32 y un map<string,bool>; el expediente no lista ninguna clase del cliente ni mensajes vecinos, y un mapa de ids opacos a booleano encaja en demasiadas cosas como para elegir una.
itd		ninguna	Solo envuelve una estructura lec (la misma que iua lleva dos veces); nada en el expediente nombra a lec, no hay clases del cliente ni vecinos, asi que no hay por donde cogerlo.
itg	ObjectsAddedMessage	posible	Lleva en repeated lhs el mismo compuesto que itz y iuq llevan de uno en uno, y los tres cierran con el mismo enumerado lbm: ese patron plural/singular compartiendo un enumerado de origen es el de ObjectsAddedMessage/ObjectAddedMessage, y el bloque cae justo antes de los mensajes de inventario ya resueltos (ivf KamasUpdateMessage, ivq ObjectMovementMessage, ivx InventoryContentMessage); la unica clase, eqq, toca 76 mensajes y no distingue.
itz	ObjectAddedMessage	posible	Mismo compuesto lhs y mismo enumerado final lbm que itg pero de uno en uno, o sea el singular del par; en contra, el campo 1 es un mensaje vacio (itx) que no pinta nada ahi y iuq compite por el mismo puesto con forma casi identica.
iua		ninguna	Dos estructuras lec iguales precedidas de un enumerado (lbr) huelen a par antes/despues, pero nada nombra a lec: eps (UpdateQuestWhenSubAreaLoaded) toca 13 mensajes y eqq 76, ninguna de las dos lo senala.
iuk		ninguna	Tres int32 y nada mas: el expediente no trae clases del cliente ni mensajes vecinos.
ium		ninguna	Un unico int32; la unica clase que lo toca, eqq, toca otros 75 mensajes y no distingue nada.
iun		ninguna	int32 mas lista de strings (ids opacos) mas int32; la unica clase es eqq (76 mensajes) y el campo 3 es int32 pelado y no enumerado, lo que ni siquiera respalda el patron de mensaje de resultado.
iuq		ninguna	Lleva el mismo compuesto lhs y el mismo enumerado final lbm que itg e itz, y fhw (UpdateSpellsNextFrame, solo 8 mensajes) dice que al recibirlo hay que refrescar los hechizos, pero eso no basta para elegir entre ser el singular del par de itg o un mensaje de equipo o de preset.
iuw		ninguna	Dos estructuras llg identicas de forma {enumerado, int32, int32}; sin clases del cliente y sin mas vecinos que llg, un par de tripletes iguales encaja igual de bien en origen/destino, antes/despues o minimo/maximo.
ivf		ninguna	Solo un int64 en el campo 1; la unica clase que lo toca es eqq, que toca 76 mensajes (PresetListEventWhenCharacterInfo, RefreshTagsWhenContentReceived) y por tanto no distingue nada.
ivk		ninguna	El enumerado lbm aparece dos veces (campos 1 y 3) alrededor de una estructura lhs de nueve campos; la unica clase con algo de contenido es fhw (UpdateSpellsNextFrame), que toca 8 mensajes y como mucho situa una familia, no este mensaje.
ivq		ninguna	Dos int32 pelados y ninguna clase discriminante (solo eqq, 76 mensajes); con esa forma encajarian decenas de mensajes del protocolo.
ivx		ninguna	Solo lo toca eqq (76 mensajes); la forma (int64, int32, lista de lec y un ivv de dos strings mas un int64) no permite elegir entre candidatos sin ninguna clase que lo senale.
iwb		ninguna	El expediente no lista ninguna clase ni vecino; lo unico que aporta es compartir la estructura lec con ivx, lo que empareja ambos mensajes pero no los nombra.
iwn	InteractiveUsedMessage	posible	Su vecino iwo se construye en eoo+<ActivateSkill>d__69 con skillInstanceId y additionalParam, o sea que el bloque es el de elementos interactivos; iwn tiene justo los tipos de InteractiveUsed (bool canMove, tres int32 elemId/skillId/duration y un int64 de entidad) y lo maneja ehl, la clase que espera objetos que llegan (WaitForAddingObject), que es lo que pasa al recolectar con un elemento interactivo. El orden de campos no cuadra con la declaracion clasica, por eso no paso de posible.
iwo	InteractiveUseWithParamRequestMessage	probable	eoo+<ActivateSkill>d__69 toca solo a este mensaje y se le escaparon los nombres skillInstanceId y additionalParam, que son exactamente los campos que distinguen a esta variante; los tres int32 cuadran con elemId, skillInstanceUid y additionalParam, y la otra clase, eaa (AuctionHouse, AuctionHouseTab, EstateAgencyTab), es la que abre HDV y agencia inmobiliaria usando un elemento interactivo.
jba	HavenBagFurnituresRequestMessage	posible	Mensaje vacio manejado por erd (6 mensajes), cuyo miembro filtrado es OnWaitHavenBagFurnituresEvent: es el controlador de la bolsa de viaje esperando la lista de muebles (jbu HavenBagFurnituresMessage), asi que encaja una peticion vacia de esa lista; encajarian igual el fin de edicion o el salir de la bolsa.
jbg		ninguna	El expediente no lista ninguna clase; dos listas repetidas del mismo trio de int32 (jar) mas un repeated bool no senalan a un mensaje concreto, solo sugieren colocacion de elementos.
jbl		ninguna	Expediente sin clases, sin metodos y sin mensajes vecinos: un int32 y un string valen para cientos de mensajes.
jbm	HavenBagFurnituresRequestMessage	posible	Vacio y su unico tocador es erd:OnWaitHavenBagFurnituresEvent, la corrutina que pide los muebles y espera; el vecindario jb* ya esta anclado en havre-saco (jbl HavenBagThemeChangeRequest, jbg HavenBagFurnituresUpdateRequest, jba HavenBagEditionStopped), asi que encaja como la peticion vacia que abre esa espera, pero jbv tambien es vacio y otros vacios del havre-saco (salir, pedir packs) encajarian igual.
jbn		ninguna	Solo dos int64 sin nombre y la unica clase que lo toca (eoy:ClickOrientation) toca a 12 mensajes, o sea que no distingue a ninguno; no hay nada que ate esos dos ids a un mensaje concreto.
jbs		ninguna	La unica clase es erd:OnWaitHavenBagFurnituresEvent, que toca a 6 mensajes y no separa a este de los demas; la forma (una subestructura jbq con int32, int32, string, int64 y dos listas clave-valor, mas un int64 y un bool) no apunta a ningun mensaje concreto del havre-saco frente a habitacion, permisos, packs o loteria.
jbu	HavenBagFurnituresMessage	probable	La subestructura jar es la terna clasica de un mueble colocado (celda, id de mueble, orientacion) y el mensaje no es mas que la lista; el unico tocador es erd:OnWaitHavenBagFurnituresEvent y ademas el metodo concreto es esa misma corrutina (erd+<OnWaitHavenBagFurnituresEvent>d__18::MoveNext), o sea el evento que se espera; el envio por trozos desde el cliente ya lo ocupa jbg (HavenBagFurnituresUpdateRequestMessage), luego este es el listado que llega del servidor.
jbv		ninguna	Mensaje vacio sin ninguna clase ni metodo en el expediente; no hay absolutamente nada que lo distinga de cualquier otro mensaje vacio.
jgu		ninguna	Solo la forma (lista de lpg con una subestructura lpe, un int64 y otra lpj) y la nota de que al lado se manejan lpg y lpe; ni una clase ni un metodo, y las subestructuras siguen siendo opacas.
jhh		ninguna	Solo la forma (string, varios int32, tres int64 y dos bool); ni clases ni metodos. Podria ser cualquier ficha de personaje, contacto, miembro de gremio o entrada de listado.
jqi		ninguna	Un unico campo enumerado (jqg) y nada mas: ni clases, ni metodos, ni el contenido del enumerado.
jqk	ChangeMapMessage	probable	El unico metodo concreto es eoo+<MapChangeWhenNotMovingAnymore>d__67::MoveNext y el tipo aparece ahi directamente (0 saltos): es el mensaje que se emite al terminar el desplazamiento para pasar de mapa, que en Dofus es ChangeMapMessage; la forma (mapa, celda o direccion y un bool de piloto automatico) es coherente con ese paso, distinto de jrw/jsj que ya cubren el andar y de jru CurrentMapMessage que es la respuesta.
jrh	ObjectGroundRemovedMessage	posible	El unico tocador es Core.Services.Entities.RoleplayEntitiesService (solo 3 mensajes) con AddObjectAsync entre los nombres que se le escaparon, o sea objetos puestos en el suelo del mapa, y el tipo se referencia directo en su metodo ruq; un solo int32 encaja con la celda de la que se quita el objeto, pero la misma clase habla tambien de agresion de monstruos y de marcadores de mision, y un solo int32 encajaria igual en esos.
jru		ninguna	Solo tengo un enumerado y un int64; ebu (DoCurrentMapEvent) y ejv (RefreshAfterZoom) lo situan en el mapa pero no lo separan de cualquier otro par enum+id de esa zona, y fgv toca a 65 mensajes.
jrw	GameMapMovementMessage	probable	f2 es una lista de int32 (las celdas clave del camino) con un id int64 en f1; eoo toca solo 2 mensajes y son ActivateSkill y MapChangeWhenNotMovingAnymore (lo que se dispara al acabar de andar) y fiw lleva RefreshPathNextFrame: es el paquete de desplazamiento, y el bool f3 (andar despacio) lo inclina al que difunde el servidor con el id del actor antes que a la peticion.
jsd		ninguna	Dos enumerados del mismo tipo lbo con un int64 en medio; la unica clase que lo toca, ehl, toca a 25 mensajes (WaitProcessMapComplementaryInfo) y no distingue este de cualquier otro estado-anterior/estado-nuevo.
jsj		ninguna	La estructura jsh (tres strings, dos bools, dos int64) admite lecturas muy distintas (casa, gremio, ficha de un actor) y sus dos clases, ejv y eon, tocan a 10 mensajes cada una: ninguna lo senala.
jsn		ninguna	Comparte el tipo ljx con el campo 5 de jss (la info complementaria del mapa), pero no se que es ljx, y jsl es un saco de ids y banderas; ehl y ejv tocan a 25 y 10 mensajes, asi que no acotan nada.
jsq	GameContextCreateMessage	posible	Un unico campo enumerado, que encaja con el tipo de contexto (rol o combate); se maneja al lado de ikv igual que jss (MapComplementaryInformationsData), o sea en la secuencia de entrada al juego, y ya conocemos lqc = GameContextCreateRequestMessage como su peticion; aun asi hay mas mensajes de un solo enumerado que encajarian.
jss	MapComplementaryInformationsDataMessage	segura	ehl lleva WaitProcessMapComplementaryInfo y Core.Services.Roleplay.RoleplayIntroductionService lo usa con GenerateSpawnPlayerEntity y DelayUntilEntityReadyThenSpawnPlayer para crear al jugador al entrar; ademas lva (MapLoadedMessage) va justo detras de el. La forma cuadra campo a campo: mapa/subarea en f1, actores, elementos interactivos con listas de habilidades activadas y desactivadas (f11 lev con dos repeated let), combates en curso (f12), la bandera de monstruos agresivos (f14) y los obstaculos (f15).
jtg		ninguna	Solo la forma: un id int64 y dos listas del mismo tipo jtd; el expediente no trae ni una clase del cliente, asi que cualquier nombre seria invencion.
kci		ninguna	Expediente sin clases ni mensajes vecinos: un int32 y dos enumerados lbf. No hay por donde cogerlo.
kcr		ninguna	Dos int32 y una sola clase, eoy (ClickOrientation), que toca a 12 mensajes; no distingue este de los otros once.
khd		ninguna	Solo tengo la forma (un bool y dos enumerados, khb y lbe); no hay clases del cliente ni trafico medido; que el enumerado lbe reaparezca en kld no dice de que va ninguno de los dos.
kla	NpcDialogCreationMessage	posible	El unico gancho real es el metodo epd+<NpcDialogCreationWhenAvailable>d__19::MoveNext, que referencia el tipo kla a 0 saltos: esa corrutina crea el dialogo de NPC en cuanto se puede, asi que kla es el mensaje que lo dispara; en contra, la forma es un unico string y una creacion de dialogo esperaria ids numericos (encajaria igual el mensaje de pregunta del dialogo), y la clase eoy (ClickOrientation) toca 12 mensajes y no distingue a ninguno.
kld		ninguna	Solo la forma; el enumerado lbe se comparte con khd y la sub-estructura klb (cuatro ints, un bool y un string) encaja con demasiadas cosas; sin clases del cliente ni trafico no hay por donde cogerlo.
kpa	PartyInvitationRequestMessage	posible	La clase eaj toca solo 2 mensajes y los nombres que se le escaparon son Invite y AddFriend, o sea una clase de accion social que envia esas dos peticiones, y kpa es la del Invite; encaja que lleve la estructura compartida lgf (enumerado + dos lgd + lgc, con pinta de descriptor del jugador objetivo, del mismo fichero lg* que reutilizaria el AddFriend) mas un enumerado koy suelto que seria el tipo de grupo; la duda es si ese Invite es de grupo, de gremio o de alianza.
kqg		ninguna	Solo la forma: una lista de entradas con id int64, un int32, una lista de int64, otro int64, dos sub-estructuras y un enumerado, mas un enumerado raiz; sin clases ni trafico eso sirve igual para una lista de servidores, de miembros de gremio, de combates o de amigos.
